127.0.0.1 - - [05/Jul/2021:08:44:01 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:26:58 +0900] "GET /board/list?page=1&perPageNum=10&searchType=&keyword= HTTP/1.1" 200 11742
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:27:00 +0900] "GET /board/list?page=2&perPageNum=10&searchType=&keyword= HTTP/1.1" 200 9213
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:27:01 +0900] "GET /board/readView?bno=528&%20page=2&%20perPageNum=10&%20searchType=&%20keyword= HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:27:01 +0900] "GET /board/readView?bno=528&%20page=2&%20perPageNum=10&%20searchType=&%20keyword= HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:27:02 +0900] "POST /board/updateView HTTP/1.1" 200 4820
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:27:04 +0900] "POST /board/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:27:04 +0900] "GET /board/list?page=1&perPageNum=10&searchType=&keyword= HTTP/1.1" 200 11742
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:27:09 +0900] "GET /board/readView?bno=541&%20page=1&%20perPageNum=10&%20searchType=&%20keyword= HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:27:10 +0900] "POST /board/updateView HTTP/1.1" 200 4814
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:27:17 +0900] "POST /board/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:27:17 +0900] "GET /board/list?page=1&perPageNum=10&searchType=&keyword= HTTP/1.1" 200 11742
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:27:19 +0900] "GET /board/list?page=2&perPageNum=10&searchType=&keyword= HTTP/1.1" 200 9214
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:27:21 +0900] "GET /board/readView?bno=528&%20page=2&%20perPageNum=10&%20searchType=&%20keyword= HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:30:30 +0900] "GET /board/readView?bno=528&%20page=2&%20perPageNum=10&%20searchType=&%20keyword= HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:30:33 +0900] "GET /board/list HTTP/1.1" 200 11742
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:30:34 +0900] "GET /board/list?page=2&perPageNum=10&searchType=&keyword= HTTP/1.1" 200 9214
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:30:36 +0900] "GET /board/readView?bno=528&%20page=2&%20perPageNum=10&%20searchType=&%20keyword= HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:30:37 +0900] "POST /board/updateView HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:30:40 +0900] "POST /board/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:30:40 +0900] "GET /board/list?page=1&perPageNum=10&searchType=&keyword= HTTP/1.1" 200 11742
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:32:14 +0900] "GET /board/list?page=1&perPageNum=10&searchType=&keyword= HTTP/1.1" 200 11742
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:32:16 +0900] "GET /board/readView?bno=541&%20page=1&%20perPageNum=10&%20searchType=&%20keyword= HTTP/1.1" 200 4238
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:32:28 +0900] "GET /board/readView?bno=541&%20page=1&%20perPageNum=10&%20searchType=&%20keyword= HTTP/1.1" 200 4238
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:32:30 +0900] "GET /board/list HTTP/1.1" 200 11743
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:32:32 +0900] "GET /board/list?page=2&perPageNum=10&searchType=&keyword= HTTP/1.1" 200 9214
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:32:33 +0900] "GET /board/readView?bno=528&%20page=2&%20perPageNum=10&%20searchType=&%20keyword= HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:32:35 +0900] "POST /board/updateView HTTP/1.1" 200 4808
0:0:0:0:0:0:0:1 - - [05/Jul/2021:09:32:40 +0900] "GET /board/list?page=1&perPageNum=10&searchType=&keyword= HTTP/1.1" 200 11743
